xid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0859,0.1432,0.2005,0.4582
9,0.0,0.0,0.0,0.0
10,0.0852,0.3651,0.5112,0.7546
11,0.3944,0.4586,0.5166,0.9385
12,0.0064,0.1005,0.1297,0.1718
13,0.0025,0.0124,0.0173,0.0222
14,0.054,0.188,0.2327,0.3127
15,0.2251,0.2305,0.2573,0.2626
16,0.009,0.14,0.3794,0.4924
17,0.0,0.0,0.0014,0.0603
18,0.0,0.0,0.0,0.0874
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0029
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.2757
30,0.0407,0.1564,0.1564,0.2346
31,0.0,0.0,0.0,0.0
32,0.0,0.0211,0.042,0.3567
33,0.0317,0.0633,0.0791,0.1187
34,0.1201,0.1801,0.5104,1.0
35,0.1816,0.2334,0.2594,0.3112
36,0.1704,0.2337,0.2941,0.8027
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0037,0.0144,0.0391,0.0687
41,0.0,0.0007,0.0027,0.0463
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0053,0.014,0.014,0.0616
45,0.1936,0.2718,0.3762,0.4267
46,0.0306,0.0963,0.127,0.4203
47,0.0,0.0033,0.0739,0.4283
48,0.0621,0.1241,0.1333,0.1635
49,0.0032,0.0113,0.021,0.0404
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0046,0.0076,0.0094,0.013
53,0.0,0.1199,0.2473,0.3747
54,0.0002,0.0002,0.0192,0.0528
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.1829
